bit,probability_one
0,0.492188
1,0.517578
2,0.511719
3,0.486328
4,0.501953
5,0.507812
6,0.493652
7,0.518066
8,0.499512
9,0.519043
10,0.499023
11,0.521484
12,0.499023
13,0.489746
14,0.496094
15,0.495605
16,0.505859
17,0.490723
18,0.498047
19,0.490234
20,0.506836
21,0.519531
22,0.489258
23,0.485352
24,0.506348
25,0.513672
26,0.479004
27,0.482422
28,0.503418
29,0.484375
30,0.503418
31,0.48877
32,0.50293
33,0.490234
34,0.506348
35,0.495117
36,0.508789
37,0.504883
38,0.477539
39,0.488281
40,0.489258
41,0.507812
42,0.495605
43,0.501465
44,0.501465
45,0.499023
46,0.491211
47,0.486816
48,0.504395
49,0.49707
50,0.518066
51,0.507812
52,0.493164
53,0.495605
54,0.512207
55,0.503418
56,0.505859
57,0.481445
58,0.491211
59,0.506348
60,0.493652
61,0.483398
62,0.490234
63,0.501465
64,0.5
65,0.50293
66,0.487793
67,0.472656
68,0.494141
69,0.503906
70,0.487305
71,0.482422
72,0.495605
73,0.501465
74,0.516602
75,0.509766
76,0.519043
77,0.503418
78,0.498535
79,0.500977
80,0.507812
81,0.512207
82,0.515625
83,0.521973
84,0.5
85,0.489746
86,0.508301
87,0.503906
88,0.503418
89,0.504395
90,0.509277
91,0.508301
92,0.507324
93,0.514648
94,0.515625
95,0.474609
96,0.506348
97,0.49707
98,0.493652
99,0.509766
100,0.493652
101,0.505371
102,0.490723
103,0.49707
104,0.500977
105,0.498047
106,0.501465
107,0.494141
108,0.51123
109,0.481445
110,0.504883
111,0.522949
112,0.483887
113,0.499512
114,0.498535
115,0.487305
116,0.508789
117,0.483398
118,0.501953
119,0.492188
120,0.480469
121,0.491699
122,0.484863
123,0.497559
124,0.492676
125,0.510742
126,0.497559
127,0.498535
128,0.516113
129,0.489746
130,0.502441
131,0.533691
132,0.515137
133,0.50293
134,0.505371
135,0.484863
136,0.506348
137,0.522461
138,0.498047
139,0.490723
140,0.503418
141,0.488281
142,0.496094
143,0.491211
144,0.48584
145,0.496094
146,0.498535
147,0.490723
148,0.512207
149,0.490723
150,0.487793
151,0.493652
152,0.512695
153,0.478516
154,0.495117
155,0.481934
156,0.509766
157,0.489746
158,0.506348
159,0.510742
160,0.510254
161,0.470215
162,0.492676
163,0.493652
164,0.490234
165,0.498047
166,0.499023
167,0.489258
168,0.484863
169,0.477539
170,0.51123
171,0.505859
172,0.496582
173,0.507324
174,0.483398
175,0.492676
176,0.506836
177,0.496582
178,0.491211
179,0.491211
180,0.494629
181,0.495605
182,0.518066
183,0.501953
184,0.507812
185,0.504395
186,0.483398
187,0.499023
188,0.506348
189,0.499512
190,0.489746
191,0.483887
192,0.502441
193,0.489746
194,0.514648
195,0.515137
196,0.490234
197,0.498047
198,0.512695
199,0.499023
200,0.519531
201,0.490723
202,0.530762
203,0.504883
204,0.505371
205,0.516113
206,0.507812
207,0.486816
208,0.496094
209,0.494629
210,0.501953
211,0.493164
212,0.502441
213,0.493164
214,0.495605
215,0.490723
216,0.511719
217,0.50293
218,0.492676
219,0.510254
220,0.504395
221,0.504883
222,0.48584
223,0.5
224,0.505371
225,0.502441
226,0.508789
227,0.490723
228,0.52002
229,0.496094
230,0.499512
231,0.495605
232,0.519043
233,0.503418
234,0.509277
235,0.506348
236,0.494141
237,0.501953
238,0.485352
239,0.516113
240,0.493164
241,0.515137
242,0.501953
243,0.52002
244,0.504883
245,0.506348
246,0.487305
247,0.491699
248,0.506348
249,0.501465
250,0.507812
251,0.500977
252,0.504883
253,0.488281
254,0.488281
255,0.509766
256,0.497559
257,0.506348
258,0.50293
259,0.507812
260,0.501465
261,0.489258
262,0.493164
263,0.503906
264,0.48877
265,0.493652
266,0.471191
267,0.512695
268,0.489258
269,0.501953
270,0.492188
271,0.510742
272,0.518555
273,0.503418
274,0.504395
275,0.490234
276,0.482422
277,0.503906
278,0.499512
279,0.51416
280,0.489258
281,0.484375
282,0.51709
283,0.501465
284,0.496094
285,0.507812
286,0.496582
287,0.520508
288,0.51709
289,0.517578
290,0.486328
291,0.496582
292,0.511719
293,0.499023
294,0.508789
295,0.516113
296,0.502441
297,0.495605
298,0.515137
299,0.499512
300,0.484863
301,0.487793
302,0.506348
303,0.510254
304,0.495605
305,0.496582
306,0.499512
307,0.481934
308,0.486816
309,0.495117
310,0.487305
311,0.500977
312,0.512207
313,0.496582
314,0.497559
315,0.506836
316,0.491211
317,0.498535
318,0.486328
319,0.496582
320,0.494629
321,0.484375
322,0.494141
323,0.516602
324,0.506348
325,0.517578
326,0.483398
327,0.516113
328,0.498535
329,0.518555
330,0.506836
331,0.505371
332,0.487305
333,0.493164
334,0.514648
335,0.50293
336,0.466797
337,0.503906
338,0.495605
339,0.505371
340,0.486328
341,0.498535
342,0.510254
343,0.487793
344,0.496582
345,0.507324
346,0.498535
347,0.487305
348,0.502441
349,0.508301
350,0.509277
351,0.5
352,0.472168
353,0.493652
354,0.508789
355,0.493652
356,0.498047
357,0.487793
358,0.483398
359,0.506348
360,0.498535
361,0.51709
362,0.481445
363,0.519043
364,0.498047
365,0.515625
366,0.488281
367,0.505371
368,0.490723
369,0.51709
370,0.493164
371,0.492676
372,0.490723
373,0.506836
374,0.503906
375,0.484375
376,0.498535
377,0.538086
378,0.518066
379,0.508301
380,0.492188
381,0.494141
382,0.495605
383,0.507812
384,0.496094
385,0.495605
386,0.51709
387,0.504395
388,0.496094
389,0.514648
390,0.485352
391,0.508301
392,0.503906
393,0.5
394,0.491211
395,0.506348
396,0.507324
397,0.492188
398,0.487305
399,0.51123
400,0.49707
401,0.498047
402,0.496582
403,0.501465
404,0.494629
405,0.504883
406,0.48584
407,0.494629
408,0.519043
409,0.49707
410,0.51709
411,0.482422
412,0.500977
413,0.500488
414,0.494629
415,0.493164
416,0.496582
417,0.502441
418,0.495605
419,0.511719
420,0.514648
421,0.490723
422,0.518066
423,0.501953
424,0.512695
425,0.516602
426,0.493652
427,0.501953
428,0.493652
429,0.486328
430,0.488281
431,0.512207
432,0.505859
433,0.503418
434,0.515625
435,0.498047
436,0.487793
437,0.494629
438,0.505371
439,0.525879
440,0.501465
441,0.500977
442,0.505859
443,0.483887
444,0.514648
445,0.507324
446,0.507324
447,0.486816
448,0.514648
449,0.520508
450,0.489258
451,0.495117
452,0.504883
453,0.499512
454,0.52002
455,0.486328
456,0.505859
457,0.511719
458,0.490723
459,0.484375
460,0.490234
461,0.499023
462,0.486816
463,0.493652
464,0.487793
465,0.482422
466,0.519531
467,0.474609
468,0.509766
469,0.49707
470,0.498535
471,0.489258
472,0.529297
473,0.496094
474,0.503906
475,0.493652
476,0.474609
477,0.504883
478,0.499023
479,0.499512
480,0.502441
481,0.508301
482,0.491699
483,0.504395
484,0.5
485,0.506348
486,0.519043
487,0.495117
488,0.487305
489,0.486816
490,0.495605
491,0.491699
492,0.505371
493,0.502441
494,0.497559
495,0.496094
496,0.500488
497,0.483398
498,0.500488
499,0.505371
500,0.510254
501,0.51123
502,0.521484
503,0.483887
504,0.487793
505,0.508301
506,0.501953
507,0.503906
508,0.516602
509,0.504883
510,0.512207
511,0.51123
