byte_value,count
0,1026
1,1004
2,994
3,1033
4,1046
5,1008
6,1010
7,1004
8,1041
9,986
10,1024
11,1119
12,1017
13,1027
14,957
15,1041
16,1040
17,989
18,988
19,1026
20,1012
21,1015
22,1028
23,1003
24,1058
25,998
26,1018
27,952
28,1046
29,1009
30,1054
31,967
32,1071
33,996
34,1029
35,979
36,990
37,1015
38,1004
39,1061
40,971
41,1067
42,1014
43,1003
44,1033
45,1030
46,1024
47,984
48,991
49,1059
50,1057
51,1003
52,1047
53,1042
54,1054
55,999
56,1041
57,1025
58,1012
59,1026
60,996
61,989
62,961
63,1017
64,1014
65,1017
66,963
67,1016
68,1000
69,982
70,975
71,1000
72,1038
73,1056
74,1072
75,1078
76,1030
77,1022
78,1010
79,1027
80,1029
81,1040
82,1079
83,1078
84,1000
85,1034
86,1042
87,1064
88,1029
89,1010
90,1021
91,1053
92,1011
93,1020
94,1047
95,1057
96,1054
97,1042
98,989
99,1049
100,1052
101,1072
102,1047
103,976
104,1039
105,1015
106,1028
107,1022
108,1068
109,1041
110,1039
111,1077
112,1043
113,1032
114,961
115,1017
116,1016
117,990
118,994
119,1073
120,1015
121,1088
122,1003
123,1019
124,1022
125,1004
126,1020
127,1001
128,1072
129,1030
130,1051
131,1056
132,1026
133,974
134,981
135,999
136,1037
137,1055
138,979
139,1029
140,1061
141,1035
142,1003
143,1097
144,1027
145,1006
146,1083
147,978
148,1006
149,1002
150,996
151,1004
152,1029
153,1009
154,1030
155,1012
156,1042
157,1022
158,1096
159,992
160,1005
161,1010
162,1006
163,1055
164,1003
165,1046
166,1011
167,1001
168,969
169,985
170,1041
171,1023
172,991
173,1008
174,1084
175,1006
176,1023
177,1065
178,1021
179,983
180,1031
181,1019
182,1027
183,1004
184,1035
185,1092
186,982
187,1045
188,1000
189,1101
190,1028
191,1009
192,1050
193,989
194,1037
195,1035
196,1055
197,1008
198,1034
199,1066
200,1032
201,1043
202,991
203,1044
204,1024
205,1032
206,1086
207,1032
208,968
209,1010
210,986
211,968
212,994
213,1053
214,1078
215,1032
216,1075
217,1047
218,953
219,974
220,1017
221,1050
222,1026
223,1041
224,999
225,1039
226,1017
227,976
228,1007
229,1026
230,1053
231,1054
232,994
233,1022
234,1013
235,1033
236,1063
237,1005
238,1059
239,957
240,1067
241,956
242,1061
243,1055
244,1055
245,1070
246,1051
247,979
248,992
249,1053
250,1022
251,1031
252,994
253,1056
254,1049
255,1026
