trial,hd
0,255
1,261
2,262
3,256
4,242
5,239
6,250
7,255
8,252
9,274
10,246
11,266
12,259
13,254
14,251
15,263
16,237
17,257
18,264
19,249
20,270
21,258
22,264
23,269
24,263
25,265
26,249
27,231
28,266
29,257
30,264
31,259
32,243
33,245
34,249
35,251
36,259
37,264
38,250
39,270
40,254
41,259
42,256
43,253
44,271
45,246
46,246
47,245
48,262
49,248
50,273
51,254
52,246
53,270
54,256
55,241
56,269
57,255
58,235
59,261
60,267
61,249
62,268
63,257
64,269
65,259
66,271
67,254
68,257
69,274
70,262
71,262
72,250
73,247
74,262
75,268
76,242
77,258
78,258
79,269
80,259
81,248
82,269
83,251
84,254
85,234
86,278
87,262
88,226
89,224
90,247
91,263
92,244
93,273
94,252
95,253
96,229
97,268
98,257
99,267
100,246
101,245
102,251
103,257
104,254
105,276
106,259
107,248
108,254
109,273
110,278
111,252
112,235
113,270
114,278
115,261
116,247
117,251
118,256
119,273
120,259
121,250
122,263
123,246
124,263
125,275
126,253
127,244
128,242
129,245
130,248
131,263
132,241
133,262
134,246
135,261
136,274
137,267
138,256
139,227
140,242
141,249
142,232
143,279
144,243
145,262
146,280
147,253
148,262
149,252
150,250
151,258
152,253
153,249
154,256
155,246
156,262
157,246
158,264
159,281
160,252
161,246
162,266
163,260
164,233
165,253
166,250
167,245
168,267
169,241
170,260
171,250
172,251
173,258
174,258
175,261
176,282
177,244
178,274
179,256
180,266
181,251
182,256
183,271
184,258
185,250
186,238
187,262
188,246
189,250
190,249
191,254
192,268
193,243
194,247
195,246
196,264
197,267
198,236
199,253
200,247
201,269
202,252
203,257
204,246
205,256
206,249
207,270
208,256
209,267
210,259
211,241
212,243
213,262
214,259
215,269
216,281
217,262
218,257
219,246
220,240
221,252
222,239
223,241
224,285
225,254
226,242
227,252
228,267
229,269
230,246
231,256
232,262
233,249
234,266
235,243
236,255
237,254
238,267
239,267
240,231
241,260
242,233
243,259
244,258
245,261
246,263
247,254
248,281
249,237
250,246
251,272
252,250
253,250
254,268
255,274
256,259
257,259
258,256
259,263
260,255
261,252
262,241
263,285
264,273
265,249
266,255
267,251
268,249
269,254
270,272
271,281
272,269
273,243
274,245
275,243
276,246
277,249
278,252
279,241
280,250
281,236
282,246
283,258
284,243
285,260
286,255
287,247
288,261
289,264
290,277
291,257
292,267
293,252
294,255
295,241
296,276
297,243
298,266
299,246
300,259
301,265
302,263
303,255
304,263
305,257
306,254
307,248
308,259
309,266
310,239
311,246
312,262
313,243
314,240
315,274
316,254
317,254
318,275
319,272
320,255
321,260
322,263
323,245
324,251
325,242
326,241
327,256
328,253
329,269
330,252
331,267
332,265
333,246
334,252
335,258
336,268
337,239
338,267
339,263
340,253
341,246
342,250
343,236
344,267
345,262
346,236
347,261
348,252
349,252
350,241
351,253
352,254
353,256
354,246
355,260
356,246
357,249
358,265
359,241
360,257
361,252
362,249
363,245
364,254
365,255
366,257
367,252
368,249
369,254
370,258
371,264
372,268
373,254
374,248
375,247
376,252
377,262
378,247
379,254
380,262
381,237
382,255
383,265
384,268
385,259
386,250
387,243
388,262
389,247
390,259
391,259
392,244
393,248
394,262
395,241
396,254
397,234
398,251
399,244
400,272
401,231
402,249
403,266
404,268
405,249
406,260
407,257
408,249
409,249
410,258
411,259
412,265
413,258
414,269
415,240
416,247
417,280
418,244
419,233
420,250
421,261
422,257
423,263
424,253
425,253
426,248
427,265
428,260
429,249
430,248
431,241
432,262
433,230
434,241
435,261
436,231
437,271
438,254
439,240
440,248
441,258
442,245
443,245
444,254
445,267
446,234
447,257
448,260
449,247
450,240
451,265
452,241
453,251
454,251
455,257
456,249
457,254
458,241
459,277
460,266
461,238
462,260
463,271
464,258
465,269
466,269
467,277
468,237
469,275
470,263
471,263
472,274
473,270
474,257
475,257
476,243
477,233
478,268
479,258
480,251
481,265
482,252
483,254
484,251
485,266
486,252
487,260
488,253
489,240
490,244
491,259
492,239
493,246
494,265
495,244
496,261
497,253
498,250
499,253
500,273
501,239
502,266
503,246
504,255
505,260
506,251
507,258
508,258
509,246
510,264
511,255
