trial,flip_bit,round,hd
0,123,1,5
0,123,2,141
0,123,3,473
0,123,4,499
0,123,5,530
0,123,6,508
0,123,7,517
0,123,8,503
0,123,9,527
0,123,10,484
0,123,11,511
0,123,12,529
0,123,13,514
0,123,14,523
0,123,15,541
0,123,16,479
0,123,17,486
0,123,18,504
0,123,19,516
0,123,20,523
0,123,21,516
0,123,22,504
0,123,23,532
0,123,24,519
1,897,1,179
1,897,2,434
1,897,3,515
1,897,4,525
1,897,5,519
1,897,6,523
1,897,7,511
1,897,8,512
1,897,9,516
1,897,10,496
1,897,11,488
1,897,12,496
1,897,13,524
1,897,14,513
1,897,15,491
1,897,16,524
1,897,17,517
1,897,18,486
1,897,19,529
1,897,20,522
1,897,21,502
1,897,22,503
1,897,23,497
1,897,24,519
2,529,1,159
2,529,2,495
2,529,3,516
2,529,4,530
2,529,5,526
2,529,6,516
2,529,7,480
2,529,8,517
2,529,9,505
2,529,10,533
2,529,11,513
2,529,12,505
2,529,13,510
2,529,14,497
2,529,15,525
2,529,16,526
2,529,17,498
2,529,18,511
2,529,19,518
2,529,20,484
2,529,21,513
2,529,22,497
2,529,23,512
2,529,24,476
3,62,1,7
3,62,2,94
3,62,3,407
3,62,4,521
3,62,5,532
3,62,6,508
3,62,7,495
3,62,8,522
3,62,9,486
3,62,10,524
3,62,11,534
3,62,12,510
3,62,13,500
3,62,14,491
3,62,15,519
3,62,16,483
3,62,17,512
3,62,18,519
3,62,19,525
3,62,20,499
3,62,21,503
3,62,22,532
3,62,23,526
3,62,24,512
4,1014,1,30
4,1014,2,342
4,1014,3,539
4,1014,4,488
4,1014,5,541
4,1014,6,536
4,1014,7,530
4,1014,8,469
4,1014,9,522
4,1014,10,526
4,1014,11,513
4,1014,12,545
4,1014,13,539
4,1014,14,511
4,1014,15,530
4,1014,16,541
4,1014,17,516
4,1014,18,524
4,1014,19,529
4,1014,20,486
4,1014,21,527
4,1014,22,525
4,1014,23,512
4,1014,24,503
5,1019,1,13
5,1019,2,207
5,1019,3,495
5,1019,4,525
5,1019,5,499
5,1019,6,523
5,1019,7,483
5,1019,8,508
5,1019,9,513
5,1019,10,508
5,1019,11,487
5,1019,12,513
5,1019,13,531
5,1019,14,507
5,1019,15,500
5,1019,16,491
5,1019,17,514
5,1019,18,492
5,1019,19,528
5,1019,20,505
5,1019,21,519
5,1019,22,505
5,1019,23,484
5,1019,24,524
6,50,1,34
6,50,2,323
6,50,3,493
6,50,4,536
6,50,5,533
6,50,6,536
6,50,7,525
6,50,8,508
6,50,9,518
6,50,10,523
6,50,11,517
6,50,12,507
6,50,13,516
6,50,14,506
6,50,15,503
6,50,16,503
