bit,probability_one
0,0.512695
1,0.483398
2,0.512695
3,0.496094
4,0.523438
5,0.506836
6,0.499023
7,0.467773
8,0.509766
9,0.502930
10,0.512695
11,0.505859
12,0.498047
13,0.517578
14,0.495117
15,0.513672
16,0.516602
17,0.497070
18,0.483398
19,0.507812
20,0.485352
21,0.506836
22,0.531250
23,0.536133
24,0.515625
25,0.505859
26,0.504883
27,0.505859
28,0.516602
29,0.495117
30,0.467773
31,0.493164
32,0.456055
33,0.489258
34,0.481445
35,0.506836
36,0.501953
37,0.499023
38,0.519531
39,0.497070
40,0.517578
41,0.491211
42,0.492188
43,0.502930
44,0.517578
45,0.525391
46,0.493164
47,0.494141
48,0.490234
49,0.532227
50,0.486328
51,0.528320
52,0.492188
53,0.497070
54,0.501953
55,0.479492
56,0.526367
57,0.501953
58,0.489258
59,0.503906
60,0.512695
61,0.486328
62,0.502930
63,0.512695
64,0.512695
65,0.489258
66,0.506836
67,0.518555
68,0.505859
69,0.494141
70,0.511719
71,0.559570
72,0.493164
73,0.494141
74,0.500000
75,0.516602
76,0.493164
77,0.489258
78,0.544922
79,0.486328
80,0.491211
81,0.497070
82,0.507812
83,0.512695
84,0.478516
85,0.498047
86,0.494141
87,0.507812
88,0.484375
89,0.506836
90,0.488281
91,0.496094
92,0.523438
93,0.491211
94,0.478516
95,0.499023
96,0.509766
97,0.503906
98,0.489258
99,0.550781
100,0.505859
101,0.514648
102,0.488281
103,0.502930
104,0.500977
105,0.503906
106,0.496094
107,0.500000
108,0.475586
109,0.507812
110,0.516602
111,0.484375
112,0.497070
113,0.523438
114,0.466797
115,0.491211
116,0.512695
117,0.484375
118,0.486328
119,0.502930
120,0.518555
121,0.497070
122,0.487305
123,0.495117
124,0.492188
125,0.524414
126,0.523438
127,0.491211
128,0.491211
129,0.484375
130,0.497070
131,0.519531
132,0.488281
133,0.508789
134,0.495117
135,0.528320
136,0.516602
137,0.505859
138,0.521484
139,0.524414
140,0.503906
141,0.484375
142,0.490234
143,0.504883
144,0.514648
145,0.523438
146,0.541016
147,0.513672
148,0.511719
149,0.521484
150,0.493164
151,0.483398
152,0.498047
153,0.500000
154,0.510742
155,0.478516
156,0.493164
157,0.497070
158,0.490234
159,0.516602
160,0.518555
161,0.510742
162,0.489258
163,0.494141
164,0.511719
165,0.481445
166,0.512695
167,0.475586
168,0.501953
169,0.502930
170,0.530273
171,0.483398
172,0.473633
173,0.496094
174,0.493164
175,0.477539
176,0.515625
177,0.497070
178,0.501953
179,0.491211
180,0.484375
181,0.505859
182,0.524414
183,0.514648
184,0.491211
185,0.492188
186,0.503906
187,0.503906
188,0.526367
189,0.500000
190,0.499023
191,0.513672
192,0.472656
193,0.500977
194,0.487305
195,0.517578
196,0.467773
197,0.514648
198,0.481445
199,0.478516
200,0.507812
201,0.501953
202,0.518555
203,0.500000
204,0.511719
205,0.518555
206,0.498047
207,0.501953
208,0.519531
209,0.482422
210,0.502930
211,0.517578
212,0.500977
213,0.524414
214,0.497070
215,0.484375
216,0.495117
217,0.479492
218,0.507812
219,0.508789
220,0.511719
221,0.510742
222,0.505859
223,0.500977
224,0.497070
225,0.484375
226,0.509766
227,0.503906
228,0.506836
229,0.503906
230,0.521484
231,0.503906
232,0.509766
233,0.513672
234,0.500977
235,0.505859
236,0.486328
237,0.514648
238,0.507812
239,0.524414
240,0.485352
241,0.515625
242,0.484375
243,0.498047
244,0.500000
245,0.508789
246,0.523438
247,0.516602
248,0.511719
249,0.515625
250,0.496094
251,0.494141
252,0.501953
253,0.491211
254,0.472656
255,0.524414
256,0.515625
257,0.490234
258,0.499023
259,0.495117
260,0.486328
261,0.477539
262,0.511719
263,0.490234
264,0.492188
265,0.501953
266,0.515625
267,0.500977
268,0.514648
269,0.501953
270,0.499023
271,0.499023
272,0.510742
273,0.526367
274,0.458984
275,0.505859
276,0.507812
277,0.477539
278,0.485352
279,0.512695
280,0.510742
281,0.507812
282,0.517578
283,0.506836
284,0.505859
285,0.488281
286,0.478516
287,0.506836
288,0.507812
289,0.530273
290,0.472656
291,0.516602
292,0.504883
293,0.521484
294,0.493164
295,0.493164
296,0.502930
297,0.496094
298,0.500977
299,0.497070
300,0.487305
301,0.504883
302,0.480469
303,0.512695
304,0.516602
305,0.528320
306,0.531250
307,0.496094
308,0.503906
309,0.514648
310,0.476562
311,0.496094
312,0.502930
313,0.521484
314,0.496094
