byte_value,count
0,2047
1,2032
2,2031
3,2122
4,2082
5,2008
6,2085
7,2029
8,2062
9,2079
10,2011
11,2043
12,2089
13,2140
14,2104
15,1924
16,1971
17,2009
18,1993
19,2065
20,2086
21,2085
22,1999
23,2036
24,2092
25,2043
26,2129
27,2046
28,2018
29,2025
30,2045
31,2065
32,2074
33,2000
34,2038
35,2088
36,2040
37,2038
38,2014
39,2096
40,1954
41,2111
42,2049
43,2080
44,2105
45,2068
46,2036
47,2086
48,2093
49,2010
50,1985
51,1999
52,2065
53,2099
54,2081
55,2025
56,2127
57,2023
58,2084
59,2043
60,2022
61,2035
62,1997
63,1978
64,2093
65,2158
66,2052
67,2087
68,2025
69,2085
70,2024
71,1974
72,2016
73,2051
74,2169
75,2095
76,1963
77,2049
78,2038
79,2016
80,2017
81,2033
82,2057
83,2043
84,2115
85,1967
86,2013
87,2002
88,2047
89,1985
90,1972
91,2071
92,2077
93,2003
94,2077
95,2009
96,2121
97,2060
98,2082
99,2099
100,2044
101,2018
102,2042
103,2035
104,2069
105,2119
106,2051
107,2115
108,1998
109,2062
110,1980
111,2155
112,2015
113,2020
114,2102
115,2062
116,2017
117,2055
118,1981
119,2087
120,2099
121,2116
122,2063
123,2077
124,2005
125,2130
126,2083
127,2072
128,2076
129,2040
130,2087
131,2003
132,2111
133,1992
134,2007
135,1991
136,2087
137,1977
138,2048
139,2050
140,2054
141,2026
142,2029
143,1951
144,2027
145,1927
146,1981
147,1979
148,1988
149,2029
150,1973
151,1998
152,2047
153,2068
154,2074
155,2080
156,2073
157,2063
158,2035
159,1973
160,1989
161,2020
162,2104
163,2042
164,2016
165,2189
166,2038
167,2064
168,2076
169,2044
170,2096
171,2104
172,2081
173,2074
174,2068
175,1979
176,2081
177,2125
178,2064
179,2051
180,2021
181,2100
182,2045
183,2077
184,2060
185,1960
186,2044
187,1997
188,2081
189,2059
190,2118
191,2007
192,2112
193,2046
194,2047
195,2087
196,2018
197,2119
198,2074
199,2035
200,2061
201,2047
202,1968
203,1956
204,2013
205,2017
206,2102
207,2043
208,2071
209,2024
210,2048
211,2048
212,2046
213,2073
214,1979
215,2012
216,2091
217,2152
218,2014
219,2099
220,2116
221,2076
222,2066
223,2054
224,2076
225,1959
226,1965
227,2036
228,2088
229,2086
230,2130
231,2023
232,2064
233,2043
234,2042
235,1962
236,2061
237,2043
238,2051
239,2135
240,2045
241,2002
242,2058
243,2003
244,2008
245,1967
246,2058
247,2025
248,1995
249,2034
250,2096
251,2100
252,2017
253,2082
254,2004
255,2043
