trial,hd_after_perm
0,522
1,502
2,521
3,523
4,499
5,536
6,524
7,503
8,505
9,511
10,501
11,527
12,506
13,529
14,515
15,512
16,540
17,498
18,516
19,521
20,514
21,552
22,506
23,540
24,500
25,498
26,501
27,509
28,500
29,530
30,512
31,514
32,548
33,507
34,496
35,544
36,548
37,504
38,526
39,516
40,544
41,507
42,517
43,507
44,528
45,547
46,511
47,506
48,510
49,485
50,481
51,492
52,534
53,513
54,494
55,492
56,509
57,513
58,507
59,532
60,501
61,503
62,535
63,541
64,525
65,501
66,537
67,494
68,516
69,500
70,518
71,522
72,517
73,523
74,525
75,517
76,529
77,538
78,519
79,496
80,504
81,532
82,522
83,529
84,493
85,546
86,517
87,548
88,526
89,518
90,536
91,508
92,504
93,514
94,510
95,526
96,485
97,510
98,533
99,512
100,492
101,504
102,522
103,480
104,506
105,514
106,521
107,490
108,494
109,515
110,496
111,514
112,525
113,500
114,510
115,526
116,535
117,539
118,521
119,514
120,504
121,497
122,521
123,516
124,495
125,511
126,531
127,515
128,540
129,500
130,516
131,489
132,513
133,488
134,486
135,545
136,517
137,516
138,543
139,523
140,522
141,510
142,536
143,480
144,500
145,501
146,506
147,513
148,505
149,505
150,529
151,524
152,526
153,536
154,510
155,484
156,534
157,524
158,498
159,506
160,491
161,506
162,497
163,541
164,494
165,540
166,504
167,507
168,502
169,515
170,522
171,513
172,514
173,491
174,537
175,529
176,514
177,514
178,514
179,513
180,487
181,529
182,511
183,508
184,532
185,515
186,541
187,498
188,496
189,498
190,510
191,520
192,528
193,526
194,487
195,512
196,487
197,511
198,508
199,501
200,527
201,504
202,513
203,509
204,526
205,515
206,508
207,487
208,515
209,524
210,507
211,522
212,540
213,514
214,519
215,529
216,504
217,510
218,513
219,501
220,502
221,499
222,511
223,514
224,519
225,512
226,517
227,505
228,503
229,538
230,503
231,473
232,528
233,517
234,512
235,492
236,512
237,512
238,516
239,499
240,519
241,540
242,507
243,500
244,508
245,532
246,511
247,517
248,500
249,499
250,523
251,477
252,519
253,518
254,503
255,522
256,496
257,516
258,517
259,521
260,498
261,556
262,525
263,503
264,522
265,504
266,522
267,493
268,517
269,534
270,518
271,524
272,512
273,514
274,528
275,504
276,526
277,504
278,531
279,521
280,510
281,525
282,518
283,511
284,513
285,510
286,526
287,524
288,501
289,524
290,532
291,506
292,511
293,527
294,508
295,531
296,494
297,489
298,519
299,490
300,523
301,510
302,489
303,509
304,494
305,501
306,513
307,499
308,495
309,528
310,509
311,518
312,523
313,524
314,523
315,494
316,505
317,515
318,523
319,472
320,535
321,512
322,484
323,502
324,508
325,502
326,516
327,515
328,519
329,508
330,503
331,491
332,503
333,517
334,486
335,501
336,519
337,522
338,513
339,524
340,533
341,517
342,505
343,506
344,537
345,534
346,543
347,512
348,509
349,511
350,534
351,476
352,494
353,508
354,493
355,519
356,490
357,539
358,527
359,520
360,513
361,517
362,513
363,523
364,527
365,525
366,520
367,534
368,507
369,505
370,537
371,523
372,506
373,496
374,524
375,496
376,505
377,488
378,517
379,512
380,512
381,502
382,484
383,503
384,525
385,493
386,525
387,527
388,515
389,542
390,495
391,512
392,494
393,517
394,515
395,494
396,500
397,518
398,523
399,502
400,519
401,537
402,485
403,507
404,505
405,531
406,529
407,510
408,524
409,503
410,492
411,535
412,526
413,523
414,504
415,483
416,489
417,513
418,515
419,509
420,517
421,536
422,538
423,481
424,501
425,494
426,537
427,531
428,503
429,514
430,499
431,526
432,509
433,508
434,516
435,514
436,511
437,518
438,531
439,538
440,519
441,507
442,534
443,527
444,533
445,529
446,521
447,513
448,543
449,523
450,515
451,528
