trial,hd
0,528
1,535
2,529
3,509
4,510
5,528
6,499
7,500
8,523
9,511
10,510
11,507
12,510
13,527
14,492
15,492
16,536
17,519
18,501
19,506
20,518
21,514
22,504
23,509
24,512
25,506
26,521
27,504
28,531
29,525
30,515
31,476
32,515
33,501
34,492
35,513
36,521
37,492
38,518
39,511
40,502
41,502
42,522
43,499
44,518
45,519
46,522
47,478
48,494
49,517
50,497
51,507
52,491
53,540
54,503
55,519
56,510
57,504
58,509
59,524
60,547
61,530
62,535
63,516
64,509
65,490
66,502
67,509
68,519
69,536
70,522
71,509
72,524
73,494
74,502
75,531
76,547
77,519
78,507
79,521
80,496
81,509
82,531
83,516
84,525
85,518
86,532
87,495
88,504
89,538
90,533
91,516
92,517
93,548
94,482
95,518
96,499
97,515
98,520
99,538
100,491
101,527
102,479
103,541
104,519
105,488
106,519
107,491
108,530
109,498
110,509
111,508
112,524
113,518
114,503
115,496
116,503
117,516
118,513
119,516
120,507
121,534
122,494
123,520
124,514
125,523
126,516
127,503
128,509
129,524
130,508
131,518
132,501
133,493
134,492
135,511
136,528
137,509
138,498
139,497
140,500
141,534
142,490
143,497
144,514
145,515
146,513
147,546
148,511
149,516
150,471
151,505
152,523
153,537
154,542
155,492
156,514
157,511
158,503
159,516
160,519
161,522
162,519
163,495
164,477
165,480
166,501
167,534
168,518
169,509
170,492
171,537
172,522
173,522
174,507
175,505
176,504
177,529
178,528
179,502
180,502
181,506
182,492
183,526
184,518
185,476
186,505
187,502
188,484
189,484
190,527
191,491
192,509
193,525
194,483
195,515
196,516
197,540
198,503
199,510
200,505
201,517
202,536
203,512
204,497
205,484
206,526
207,509
208,506
209,492
210,503
211,530
212,496
213,502
214,518
215,505
216,516
217,517
218,533
219,530
220,500
221,501
222,505
223,532
224,488
225,518
226,524
227,494
228,502
229,528
230,526
231,532
232,540
233,517
234,511
235,503
236,511
237,536
238,509
239,492
240,495
241,504
242,517
243,512
244,542
245,497
246,527
247,514
248,510
249,509
250,526
251,499
252,555
253,492
254,511
255,510
256,508
257,506
258,534
259,502
260,525
261,474
262,499
263,525
264,490
265,511
266,483
267,506
268,561
269,498
270,541
271,518
272,521
273,503
274,507
275,501
276,526
277,527
278,497
279,516
280,519
281,488
282,508
283,497
284,538
285,493
286,520
287,543
288,547
289,514
290,500
291,512
292,508
293,517
294,504
295,515
296,486
297,506
298,505
299,520
300,524
301,531
302,501
303,521
304,519
305,508
306,481
307,542
308,516
309,499
310,495
311,526
312,502
313,527
314,534
315,508
316,494
317,521
318,525
319,489
320,514
321,504
322,539
323,524
324,524
325,543
326,525
327,521
328,532
329,514
330,504
331,523
332,520
333,498
334,491
335,523
336,526
337,527
338,522
339,521
340,492
341,507
342,501
343,532
344,505
345,489
346,485
347,479
348,519
349,508
350,503
351,529
352,498
353,492
354,520
355,496
356,507
357,525
358,507
359,493
360,490
361,496
362,520
363,502
364,488
365,517
366,493
367,482
368,525
369,538
370,499
371,514
372,523
373,538
374,529
375,514
376,546
377,509
378,514
379,517
380,521
381,505
382,526
383,490
384,513
385,525
386,512
387,500
388,509
389,533
390,529
391,493
392,500
393,502
394,502
395,513
396,514
397,526
398,540
399,524
400,491
401,523
402,525
403,553
404,515
405,509
406,523
407,518
408,499
409,526
410,501
411,513
412,515
413,506
414,507
415,509
416,494
417,497
418,526
419,526
420,518
421,546
422,521
423,508
424,530
425,498
426,502
427,530
428,509
429,534
430,504
431,521
432,509
433,512
434,513
435,493
436,499
437,522
438,505
439,505
440,491
441,519
442,496
443,512
444,519
445,485
446,526
447,541
448,513
449,491
450,496
451,533
452,498
453,505
454,491
455,497
456,508
457,502
458,526
459,520
460,520
461,509
462,506
463,523
464,515
465,535
466,535
467,501
468,521
469,534
470,491
471,514
472,505
473,506
474,509
475,482
476,501
477,493
478,531
479,510
480,527
481,519
482,491
483,497
484,484
485,502
486,512
487,510
488,508
489,493
490,513
491,504
492,529
493,511
494,514
495,492
496,499
497,540
498,534
499,526
500,528
501,531
502,516
503,531
504,498
505,517
506,524
507,527
508,515
509,525
510,536
511,499
