input_bit,output_bit,probability
0,0,0.478516
0,1,0.486328
0,2,0.498047
0,3,0.513672
0,4,0.486328
0,5,0.494141
0,6,0.511719
0,7,0.484375
0,8,0.523438
0,9,0.531250
0,10,0.500000
0,11,0.511719
0,12,0.517578
0,13,0.517578
0,14,0.496094
0,15,0.494141
0,16,0.496094
0,17,0.490234
0,18,0.496094
0,19,0.517578
0,20,0.500000
0,21,0.501953
0,22,0.476562
0,23,0.531250
0,24,0.509766
0,25,0.460938
0,26,0.523438
0,27,0.500000
0,28,0.525391
0,29,0.474609
0,30,0.466797
0,31,0.519531
0,32,0.525391
0,33,0.503906
0,34,0.527344
0,35,0.501953
0,36,0.521484
0,37,0.488281
0,38,0.480469
0,39,0.503906
0,40,0.474609
0,41,0.480469
0,42,0.464844
0,43,0.519531
0,44,0.525391
0,45,0.470703
0,46,0.484375
0,47,0.435547
0,48,0.541016
0,49,0.496094
0,50,0.539062
0,51,0.509766
0,52,0.468750
0,53,0.486328
0,54,0.505859
0,55,0.494141
0,56,0.539062
0,57,0.515625
0,58,0.449219
0,59,0.478516
0,60,0.544922
0,61,0.498047
0,62,0.474609
0,63,0.482422
0,64,0.513672
0,65,0.498047
0,66,0.478516
0,67,0.570312
0,68,0.531250
0,69,0.498047
0,70,0.490234
0,71,0.523438
0,72,0.474609
0,73,0.484375
0,74,0.482422
0,75,0.521484
0,76,0.478516
0,77,0.501953
0,78,0.494141
0,79,0.482422
0,80,0.501953
0,81,0.539062
0,82,0.519531
0,83,0.527344
0,84,0.496094
0,85,0.458984
0,86,0.476562
0,87,0.507812
0,88,0.529297
0,89,0.501953
0,90,0.451172
0,91,0.515625
0,92,0.451172
0,93,0.500000
0,94,0.531250
0,95,0.509766
0,96,0.478516
0,97,0.478516
0,98,0.464844
0,99,0.472656
0,100,0.500000
0,101,0.492188
0,102,0.490234
0,103,0.517578
0,104,0.482422
0,105,0.474609
0,106,0.474609
0,107,0.523438
0,108,0.501953
0,109,0.519531
0,110,0.490234
0,111,0.482422
0,112,0.470703
0,113,0.527344
0,114,0.464844
0,115,0.474609
0,116,0.484375
0,117,0.521484
0,118,0.484375
0,119,0.496094
0,120,0.509766
0,121,0.455078
0,122,0.501953
0,123,0.511719
0,124,0.482422
0,125,0.513672
0,126,0.484375
0,127,0.513672
0,128,0.480469
0,129,0.515625
0,130,0.539062
0,131,0.500000
0,132,0.503906
0,133,0.480469
0,134,0.490234
0,135,0.480469
0,136,0.503906
0,137,0.466797
0,138,0.501953
0,139,0.529297
0,140,0.492188
0,141,0.521484
0,142,0.480469
0,143,0.503906
0,144,0.482422
0,145,0.480469
0,146,0.517578
0,147,0.513672
0,148,0.550781
0,149,0.488281
0,150,0.525391
0,151,0.490234
0,152,0.525391
0,153,0.462891
0,154,0.492188
0,155,0.515625
0,156,0.500000
0,157,0.476562
0,158,0.542969
0,159,0.464844
0,160,0.468750
0,161,0.490234
0,162,0.525391
0,163,0.472656
0,164,0.529297
0,165,0.515625
0,166,0.490234
0,167,0.453125
0,168,0.503906
0,169,0.507812
0,170,0.501953
0,171,0.505859
0,172,0.503906
0,173,0.515625
0,174,0.470703
0,175,0.486328
0,176,0.521484
0,177,0.533203
0,178,0.496094
0,179,0.492188
0,180,0.486328
0,181,0.474609
0,182,0.529297
0,183,0.496094
0,184,0.466797
0,185,0.519531
0,186,0.468750
0,187,0.550781
0,188,0.523438
0,189,0.464844
0,190,0.498047
0,191,0.505859
0,192,0.490234
0,193,0.466797
0,194,0.509766
0,195,0.513672
0,196,0.492188
0,197,0.529297
0,198,0.458984
0,199,0.515625
0,200,0.478516
0,201,0.509766
0,202,0.494141
0,203,0.533203
0,204,0.441406
0,205,0.505859
0,206,0.535156
0,207,0.507812
0,208,0.515625
0,209,0.496094
0,210,0.484375
0,211,0.464844
0,212,0.457031
0,213,0.486328
0,214,0.462891
0,215,0.490234
0,216,0.476562
0,217,0.492188
0,218,0.470703
0,219,0.488281
0,220,0.507812
0,221,0.488281
0,222,0.496094
0,223,0.515625
0,224,0.501953
0,225,0.507812
0,226,0.519531
0,227,0.482422
0,228,0.517578
0,229,0.482422
0,230,0.464844
0,231,0.480469
0,232,0.488281
0,233,0.523438
0,234,0.539062
0,235,0.474609
0,236,0.484375
0,237,0.525391
0,238,0.519531
0,239,0.482422
0,240,0.498047
0,241,0.511719
0,242,0.531250
0,243,0.505859
0,244,0.533203
0,245,0.500000
0,246,0.492188
0,247,0.480469
0,248,0.472656
0,249,0.492188
0,250,0.498047
0,251,0.472656
0,252,0.492188
0,253,0.494141
0,254,0.492188
0,255,0.488281
0,256,0.511719
0,257,0.488281
0,258,0.521484
0,259,0.484375
0,260,0.494141
0,261,0.462891
0,262,0.505859
0,263,0.490234
0,264,0.490234
0,265,0.470703
0,266,0.521484
0,267,0.498047
0,268,0.501953
0,269,0.474609
0,270,0.494141
0,271,0.523438
0,272,0.505859
0,273,0.511719
0,274,0.474609
0,275,0.476562
0,276,0.484375
0,277,0.523438
0,278,0.496094
0,279,0.537109
0,280,0.468750
0,281,0.513672
0,282,0.509766
0,283,0.482422
0,284,0.468750
0,285,0.521484
0,286,0.535156
0,287,0.517578
0,288,0.517578
0,289,0.484375
0,290,0.523438
0,291,0.472656
0,292,0.451172
0,293,0.492188
0,294,0.503906
0,295,0.501953
0,296,0.550781
0,297,0.494141
0,298,0.500000
0,299,0.537109
0,300,0.472656
0,301,0.529297
0,302,0.496094
0,303,0.513672
0,304,0.472656
0,305,0.494141
0,306,0.517578
0,307,0.500000
0,308,0.521484
0,309,0.488281
0,310,0.472656
0,311,0.494141
0,312,0.488281
0,313,0.527344
0,314,0.515625
0,315,0.490234
0,316,0.484375
0,317,0.505859
0,318,0.539062
0,319,0.513672
0,320,0.488281
0,321,0.494141
0,322,0.472656
0,323,0.474609
0,324,0.492188
0,325,0.478516
0,326,0.484375
0,327,0.490234
0,328,0.486328
0,329,0.521484
0,330,0.496094
0,331,0.521484
0,332,0.496094
0,333,0.482422
0,334,0.521484
0,335,0.474609
0,336,0.519531
0,337,0.501953
0,338,0.503906
0,339,0.560547
0,340,0.523438
0,341,0.535156
0,342,0.537109
0,343,0.494141
0,344,0.507812
0,345,0.533203
0,346,0.560547
0,347,0.486328
0,348,0.507812
0,349,0.501953
0,350,0.486328
0,351,0.462891
0,352,0.511719
0,353,0.492188
0,354,0.501953
0,355,0.533203
0,356,0.484375
0,357,0.478516
0,358,0.486328
0,359,0.505859
0,360,0.494141
0,361,0.474609
0,362,0.511719
0,363,0.521484
0,364,0.492188
0,365,0.501953
0,366,0.509766
0,367,0.494141
0,368,0.523438
0,369,0.486328
0,370,0.507812
0,371,0.511719
0,372,0.470703
0,373,0.503906
0,374,0.458984
0,375,0.511719
0,376,0.472656
0,377,0.500000
0,378,0.505859
0,379,0.474609
0,380,0.498047
0,381,0.498047
0,382,0.486328
0,383,0.466797
0,384,0.490234
0,385,0.482422
0,386,0.496094
0,387,0.480469
0,388,0.509766
0,389,0.529297
0,390,0.505859
0,391,0.513672
0,392,0.515625
0,393,0.492188
0,394,0.539062
0,395,0.480469
0,396,0.531250
0,397,0.482422
0,398,0.474609
0,399,0.554688
0,400,0.505859
0,401,0.521484
0,402,0.523438
0,403,0.462891
0,404,0.503906
0,405,0.474609
0,406,0.498047
0,407,0.523438
0,408,0.494141
0,409,0.500000
0,410,0.496094
0,411,0.492188
0,412,0.472656
0,413,0.501953
0,414,0.525391
0,415,0.517578
0,416,0.500000
0,417,0.490234
0,418,0.484375
0,419,0.482422
0,420,0.494141
0,421,0.470703
0,422,0.527344
0,423,0.453125
0,424,0.498047
0,425,0.507812
0,426,0.494141
0,427,0.480469
0,428,0.527344
0,429,0.484375
0,430,0.523438
0,431,0.509766
0,432,0.476562
0,433,0.544922
0,434,0.435547
0,435,0.501953
0,436,0.509766
0,437,0.476562
0,438,0.531250
0,439,0.529297
0,440,0.531250
0,441,0.498047
0,442,0.496094
0,443,0.476562
0,444,0.513672
0,445,0.515625
0,446,0.513672
0,447,0.550781
0,448,0.500000
0,449,0.501953
0,450,0.507812
0,451,0.503906
0,452,0.523438
0,453,0.492188
0,454,0.525391
0,455,0.480469
0,456,0.478516
0,457,0.488281
0,458,0.533203
0,459,0.470703
0,460,0.496094
0,461,0.486328
0,462,0.490234
0,463,0.500000
0,464,0.523438
0,465,0.466797
0,466,0.458984
0,467,0.505859
0,468,0.447266
0,469,0.498047
0,470,0.505859
0,471,0.488281
0,472,0.511719
0,473,0.500000
0,474,0.486328
0,475,0.484375
0,476,0.492188
0,477,0.521484
0,478,0.488281
0,479,0.492188
0,480,0.484375
0,481,0.490234
0,482,0.498047
0,483,0.468750
0,484,0.513672
0,485,0.500000
0,486,0.537109
0,487,0.490234
0,488,0.511719
0,489,0.533203
0,490,0.486328
0,491,0.507812
0,492,0.496094
0,493,0.503906
0,494,0.478516
0,495,0.486328
0,496,0.507812
0,497,0.521484
0,498,0.562500
0,499,0.492188
0,500,0.462891
0,501,0.494141
0,502,0.548828
0,503,0.476562
0,504,0.486328
0,505,0.505859
0,506,0.517578
0,507,0.476562
0,508,0.492188
0,509,0.488281
0,510,0.544922
0,511,0.507812
0,512,0.494141
0,513,0.529297
0,514,0.494141
0,515,0.531250
0,516,0.494141
0,517,0.498047
0,518,0.507812
0,519,0.476562
0,520,0.501953
0,521,0.498047
0,522,0.478516
0,523,0.498047
0,524,0.511719
0,525,0.539062
0,526,0.488281
0,527,0.521484
0,528,0.507812
0,529,0.484375
0,530,0.482422
0,531,0.541016
0,532,0.513672
0,533,0.517578
0,534,0.492188
0,535,0.521484
0,536,0.455078
0,537,0.494141
0,538,0.464844
0,539,0.482422
0,540,0.482422
0,541,0.515625
0,542,0.505859
0,543,0.496094
0,544,0.480469
0,545,0.533203
0,546,0.474609
0,547,0.492188
0,548,0.498047
0,549,0.500000
0,550,0.490234
0,551,0.519531
0,552,0.529297
0,553,0.523438
0,554,0.542969
0,555,0.472656
0,556,0.498047
0,557,0.500000
0,558,0.500000
0,559,0.505859
0,560,0.509766
0,561,0.480469
0,562,0.492188
0,563,0.513672
0,564,0.496094
0,565,0.486328
0,566,0.488281
0,567,0.458984
0,568,0.521484
0,569,0.503906
0,570,0.513672
0,571,0.476562
0,572,0.507812
0,573,0.464844
0,574,0.527344
0,575,0.513672
0,576,0.529297
0,577,0.527344
0,578,0.503906
0,579,0.529297
0,580,0.511719
0,581,0.558594
0,582,0.503906
0,583,0.486328
0,584,0.498047
0,585,0.519531
0,586,0.474609
0,587,0.472656
0,588,0.535156
0,589,0.480469
0,590,0.490234
0,591,0.490234
0,592,0.511719
0,593,0.503906
0,594,0.531250
0,595,0.515625
0,596,0.500000
0,597,0.500000
0,598,0.525391
0,599,0.482422
0,600,0.490234
0,601,0.513672
0,602,0.482422
0,603,0.484375
0,604,0.515625
0,605,0.460938
0,606,0.458984
0,607,0.488281
0,608,0.466797
0,609,0.498047
0,610,0.513672
0,611,0.542969
0,612,0.521484
0,613,0.498047
0,614,0.501953
0,615,0.484375
0,616,0.474609
0,617,0.482422
0,618,0.515625
0,619,0.517578
0,620,0.478516
0,621,0.535156
0,622,0.513672
0,623,0.513672
0,624,0.482422
0,625,0.496094
0,626,0.458984
0,627,0.503906
0,628,0.470703
0,629,0.500000
0,630,0.488281
0,631,0.484375
0,632,0.501953
0,633,0.498047
0,634,0.498047
0,635,0.488281
0,636,0.468750
0,637,0.478516
0,638,0.476562
0,639,0.548828
0,640,0.541016
0,641,0.443359
0,642,0.492188
0,643,0.484375
0,644,0.511719
0,645,0.509766
0,646,0.527344
0,647,0.523438
0,648,0.507812
0,649,0.496094
0,650,0.486328
0,651,0.523438
0,652,0.513672
0,653,0.525391
0,654,0.498047
0,655,0.472656
0,656,0.492188
0,657,0.466797
0,658,0.462891
0,659,0.484375
0,660,0.468750
0,661,0.482422
0,662,0.501953
0,663,0.464844
0,664,0.490234
0,665,0.478516
0,666,0.511719
0,667,0.507812
0,668,0.494141
0,669,0.486328
0,670,0.513672
0,671,0.488281
0,672,0.527344
0,673,0.484375
0,674,0.507812
0,675,0.494141
0,676,0.486328
0,677,0.509766
0,678,0.519531
0,679,0.511719
0,680,0.458984
0,681,0.486328
0,682,0.509766
0,683,0.515625
0,684,0.484375
0,685,0.519531
0,686,0.490234
0,687,0.501953
0,688,0.523438
0,689,0.472656
0,690,0.496094
0,691,0.513672
0,692,0.498047
0,693,0.480469
0,694,0.507812
0,695,0.474609
0,696,0.501953
0,697,0.492188
0,698,0.501953
0,699,0.531250
0,700,0.527344
0,701,0.468750
0,702,0.472656
0,703,0.521484
0,704,0.498047
0,705,0.519531
0,706,0.488281
0,707,0.488281
0,708,0.507812
0,709,0.517578
0,710,0.503906
0,711,0.503906
0,712,0.541016
0,713,0.519531
0,714,0.484375
0,715,0.470703
0,716,0.494141
0,717,0.486328
0,718,0.513672
0,719,0.523438
0,720,0.490234
